postcode,lat,long
BD4 6BS,53.766992,-1.727802
HX1 2TA,53.719778,-1.866566
YO25 3HX,54.169084,-0.400572
NW10 0SG,51.546775,-0.265805
BA22 9UJ,50.919837,-2.618908
G32 9DL,55.846224,-4.158232
NG31 9BQ,52.916184,-0.630382
CF10 5LH,51.466374,-3.166773
CM6 3DA,51.89607,0.424307
ME3 9FA,51.429,0.559
BT28 1SH,54.508607,-6.072883
BT29 4JD,54.593804,-6.083017
EH1 2PE,55.949332,-3.194235
PR6 8LY,53.688431,-2.618576
GL11 5AS,51.704897,-2.314063
SW15 5DH,51.452856,-0.243286
IG3 9XE,51.564849,0.108739
IP22 1RT,52.356997,1.008142
SN1 7DF,51.542799,-1.808448
BT37 0PD,54.68929,-5.893692
SP8 4NW,51.038,-2.294
NR35 1RQ,52.448288,1.442657
LL13 9NA,53.047215,-2.967989
TN17 9FH,51.096115,0.535078
SK15 1TY,53.477277,-2.067115
CH49 0UW,53.377914,-3.096397
DT7 3NW,50.727801,-2.944624
DY13 8AL,52.346451,-2.275626
BA2 2PH,51.363428,-2.38358
LS15 4DU,53.83283,-1.392018
PE10 0DG,52.756958,-0.367964
NN3 7ST,52.289604,-0.851284
BT54 6RF,55.196772,-6.148401
OX7 6SW,51.88579,-1.689509
BN2 4BU,50.838127,-0.111958
CW1 6HJ,53.095036,-2.427364
NR31 0NB,52.592528,1.707553
PL9 8QP,50.355798,-4.082409
RG6 3DY,51.43062,-0.918811
BL9 9TG,53.567311,-2.293971
TS4 2UU,54.555508,-1.22967
EX34 0PL,51.196932,-4.017708
SL3 8AB,51.490187,-0.534793
WN3 4HH,53.53712,-2.628951
BT11 9BD,54.57246,-5.985987
M26 4BP,53.563635,-2.335192
OX1 1NQ,51.752133,-1.264033
FK10 2AS,56.118201,-3.792504
PO5 3AD,50.78511,-1.100051
LE18 3XQ,52.582758,-1.09159
KW16 3DX,58.961858,-3.305181
CT13 0HY,51.243906,1.307419
HU12 0WU,53.683909,-0.012049
DH1 4RE,54.778595,-1.583657
AB51 0TL,57.240103,-2.348538
OL12 8LR,53.669565,-2.171887
NN13 5AU,52.037997,-1.143375
TS24 8LA,54.69764,-1.220339
PE8 4NB,52.491105,-0.47215
WA8 8BB,53.366504,-2.773291
AB10 6HY,57.132974,-2.122561
CA15 8RS,54.681774,-3.53017
PO7 6JP,50.910262,-1.059094
PO14 2TG,50.835247,-1.212396
PR8 1EQ,53.644923,-3.00698
BH11 8SS,50.753294,-1.910343
W1H 5BQ,51.51811,-0.164371
HD1 4EW,53.646388,-1.790389
B63 3DS,52.445177,-2.050891
TA2 6DR,51.031934,-3.111988
NG17 1EP,53.12347,-1.264696
FY3 9JW,53.806645,-3.029244
TW8 0GE,51.490069,-0.302027
DY9 9DL,52.445669,-2.107579
SO50 9PR,50.971322,-1.351266
OL4 1NQ,53.541845,-2.086789
PL22 0GL,50.40421,-4.673315
WA6 6PU,53.293,-2.717
LL44 2EQ,52.786027,-4.095491
BT47 2AN,54.992555,-7.310132
CT11 9UB,51.33575,1.415599
NR28 0FB,52.828309,1.382121
NG10 5HU,52.922126,-1.29301
WF15 7PQ,53.697396,-1.676998
NG5 0JG,52.998288,-1.135252
EH45 9HG,55.641933,-3.195889
DD2 2ES,56.464784,-3.023998
CM5 9DJ,51.696,0.245
KA1 2LJ,55.61236,-4.51709
M23 9RN,53.404406,-2.293131
PA7 5QQ,55.906494,-4.510616
BT82 9JY,54.807918,-7.470447
PA5 9QR,55.828071,-4.497332
CT6 6DU,51.36764,1.136872
TQ9 6QW,50.408641,-3.626602
G52 4HR,55.851257,-4.367605
SS5 4NH,51.597102,0.661498
CT1 1YH,51.270145,1.100513
ME19 5NE,51.290475,0.378956
ME5 8AQ,51.342856,0.526515
LU1 3DY,51.874078,-0.409507
DY3 4RA,52.519829,-2.207297
GL50 4PZ,51.914586,-2.073431
OL14 8PS,53.732579,-2.15394
G22 6PS,55.896077,-4.26572
SW1W 9SX,51.491602,-0.149605
LL12 0FA,53.113664,-2.935507
BT30 6JL,54.326746,-5.700442
IP28 7NT,52.350672,0.52114
L24 1WE,53.345,-2.862
TN27 8JD,51.123261,0.656442
SP7 0EW,50.994979,-2.132054
YO8 8HY,53.727606,-1.027013
AL1 2QB,51.738463,-0.347664
ST9 9PT,53.060022,-2.127564
DD11 5ES,56.569704,-2.564336
KA5 6JG,55.526816,-4.272955
TS18 3BH,54.556033,-1.315578
NE6 2SJ,54.980231,-1.578262
SS2 4GG,51.551337,0.730233
BS31 1LN,51.413835,-2.492219
DD5 1NX,56.47,-2.9
OL8 3QQ,53.519575,-2.140587
DN20 0HX,53.572355,-0.547955
CV7 7SA,52.436388,-1.648868
BT17 0DH,54.549191,-6.027183
RH10 7QL,51.101267,-0.150578
DA14 5ND,51.42156,0.131421
TN22 5LG,50.961703,0.164906
TW10 7EQ,51.441535,-0.307537
OX18 2RE,51.712373,-1.593188
WF12 8PP,53.687462,-1.596185
LL29 9HT,53.287531,-3.675449
RG12 9NX,51.401935,-0.740463
EH20 9TH,55.881348,-3.139747
B42 1JS,52.538724,-1.928184
RM5 2AH,51.598048,0.161739
TR11 5FH,50.139927,-5.089881
